PAIS,ANO,DEWEY PRINCIPAL,IDIOMA DE ORIGEN,IDIOMA PUBLICACION,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,3
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRANICA,1
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,7
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,15
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,BNEI SHOLEM,7
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,89
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PENIEL,31
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,6
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,8
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,17
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,11
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD DE PALERMO - UP,8
Argentina,2012,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LOSADA,1
Argentina,2012,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SHOLEM BUENOS AIRES,1
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AZ EDITORA S.A.,3
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DEL CALDERON,1
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,4
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GALERNA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DE LA CAMPANA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,8
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL MEDICA PANAMERICANA,12
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,9
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,INTER-MEDICA,6
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,READER'S DIGEST ARGENTINA S.R.L.,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CYPRES,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LARP EDITORES,2
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,OVNI PRESS,41
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,BARCELBAIRES EDICIONES S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,23
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CYPRES,5
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,16
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PLANETA DE AGOSTINI,6
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,79
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,138
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,104
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LOSADA,42
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,49
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,7
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,2
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICION DEL AUTOR,2
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,7
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,4
Argentina,2012,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION BUDISTA - IBPS ARGENTINA,1
Argentina,2012,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,2
Argentina,2012,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,WINOGRAD,1
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION EDUCACIONISTA ARGENTINA,2
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES GRANICA S.A.,1
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,2
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,1
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMORRORTU EDITORES S.A.,10
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPAL LOGISTICA Y DISTRIBUIDORA S.A.,11
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,13
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"IRES, PABLO ARIEL",6
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,30
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION CIVIL PERSPECTIVAS BET MIDRASH,5
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,85
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GARCIA, RUFINO",14
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PRODUCCIONES PENIEL S.R.L.,29
Argentina,2013,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA CHILDREN ENTERTAINMENT S.A.,5
Argentina,2013,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GIANNA, SERGIO DANIEL",6
Argentina,2013,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO ILHSA S.A.,5
Argentina,2013,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,9
Argentina,2013,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,6
Argentina,2013,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMORRORTU EDITORES S.A.,2
Argentina,2013,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AZ EDITORA S.A.,3
Argentina,2013,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"BALLARINI, STELLA MARYS SERVICIO TECNICO PROFESIONAL",1
Argentina,2013,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DEDALUS EDITORES,2
Argentina,2013,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,2
Argentina,2013,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"CAMPANARO, RAUL ALEJANDRO",1
Argentina,2013,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GARCIA, RUFINO",1
Argentina,2013,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,2
Argentina,2013,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PLOW S.R.L.,5
Argentina,2013,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,4
Argentina,2013,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANEJO PRODUCCIONES,7
Argentina,2013,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES CONTINENTE S.R.L.,4
Argentina,2013,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES LEA,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL INTER-MEDICA S.A.,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GABA S.R.L.,4
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"CRISTOFARO, SALVADOR",1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GUTIERREZ DE ANGELIS, MARINA",1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PABLO COSTA,1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,VIAF S.A.,1
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA CHILDREN ENTERTAINMENT S.A.,36
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,14
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,4
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PLANETA,28
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,6
Argentina,2013,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PLANETA,49
Argentina,2013,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LA BESTIA EQUILATERA S.R.L.,23
Argentina,2013,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LOSADA S.A.,28
Argentina,2013,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,44
Argentina,2013,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,74
Argentina,2013,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION CIVIL CENTRO DE ESTUDIOS E INVESTIGACION EN CIENCIAS SOCIALES - CEICS,4
Argentina,2013,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDHASA S.A.,4
Argentina,2013,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GARGIULO, FEDERICO EZEQUIEL",6
Argentina,2013,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,8
Argentina,2013,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,7
Argentina,2013,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES MANANTIAL S.R.L.,1
Argentina,2013,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL INTER-MEDICA S.A.,1
Argentina,2013,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,FUNDACION LUCIS,1
Argentina,2013,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GARCIA, RUFINO",1
Argentina,2013,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"TORRES, CARLOS",2
Argentina,2014,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,1
Argentina,2014,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SUDPOL,1
Argentina,2014,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,1
Argentina,2014,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMORRORTU EDITORES S.A.,21
Argentina,2014,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICION DEL AUTOR,7
Argentina,2014,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES CONTINENTE S.R.L.,22
Argentina,2014,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,25
Argentina,2014,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,16
Argentina,2014,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION ISRAELITA BNEI SHOLEM,13
Argentina,2014,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL PENIEL,19
Argentina,2014,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,55
Argentina,2014,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GARCIA, RUFINO",22
Argentina,2014,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,THE BHAKTIVEDANTA BOOK TRUST ARGENTINA,15
Argentina,2014,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMORRORTU EDITORES S.A.,3
Argentina,2014,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA CHILDREN ENTERTAINMENT S.A.,9
Argentina,2014,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDHASA S.A.,3
Argentina,2014,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,5
Argentina,2014,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,34
Argentina,2014,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES AKAL,1
Argentina,2014,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,3
Argentina,2014,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE FORMOSA,2
Argentina,2014,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO SANTILLANA,1
Argentina,2014,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,INTERZONA EDITORA S.A.,1
Argentina,2014,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,1
Argentina,2014,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,1
Argentina,2014,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE MORENO,1
Argentina,2014,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,BARCELBAIRES EDICIONES S.A.,1
Argentina,2014,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CONTRATIEMPO EDICIONES,1
Argentina,2014,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,MINERA ALUMBRERA LIMITED,2
Argentina,2014,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,2
Argentina,2014,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,2
Argentina,2014,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANEJO PRODUCCIONES,18
Argentina,2014,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL INTER-MEDICA S.A.,5
Argentina,2014,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL MEDICA PANAMERICANA,10
Argentina,2014,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,JOSE LUIS Y SILVIA CINALLI EDITORES,6
Argentina,2014,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,8
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASUNTO IMPRESO S.R.L.,1
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDHASA S.A.,1
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL EL ATENEO,1
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,14
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SANS SOLEIL EDICIONES ARGENTINA,1
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ADRIANA HIDALGO EDITORA,4
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASUNTO IMPRESO S.R.L.,4
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA CHILDREN ENTERTAINMENT S.A.,37
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES MANANTIAL S.R.L.,4
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,14
Argentina,2014,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL LOSADA,31
Argentina,2014,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO SANTILLANA,62
Argentina,2014,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,159
Argentina,2014,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,32
Argentina,2014,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,55
Argentina,2014,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDHASA S.A.,3
Argentina,2014,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL EL ATENEO,10
Argentina,2014,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,7
Argentina,2014,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,3
Argentina,2014,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SUDPOL,4
Argentina,2014,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CYPRES S.A.,6
Argentina,2014,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES DE LA MIRANDOLA,4
Argentina,2014,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,3
Argentina,2014,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO SANTILLANA,6
Argentina,2014,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,RH MONDADORI,30
Argentina,2015,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMPERSAND,1
Argentina,2015,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2015,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EL ATENEO,1
Argentina,2015,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GOBIERNO DE LA CIUDAD  AUTONOMA DE BUENOS AIRES,1
Argentina,2015,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PENGUIN RANDOM HOUSE,3
Argentina,2015,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMORRORTU,7
Argentina,2015,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CONTINENTE,10
Argentina,2015,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EGODOT ARGENTINA,10
Argentina,2015,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EKUMENE-COMENIUS CULTURAL CENTER,7
Argentina,2015,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PENGUIN RANDOM HOUSE,30
Argentina,2015,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AGAPE LIBROS,4
Argentina,2015,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION CASA EDITORA SUDAMERICANA,70
Argentina,2015,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CIUDAD NUEVA,7
Argentina,2015,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CONTINENTE,8
Argentina,2015,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PENIEL,14
Argentina,2015,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,13
Argentina,2015,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DEBATE,6
Argentina,2015,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EKUMENE-COMENIUS CULTURAL CENTER,7
Argentina,2015,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PENGUIN RANDOM HOUSE,10
Argentina,2015,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,28
Argentina,2015,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,COLIHUE 950-563,1
Argentina,2015,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DOCENCIA,1
Argentina,2015,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION CIVIL LETRA LATINOAMERICANOS EN TRADUCCION Y ALFABETIZACION,1
