PAIS,ANO,DEWEY PRINCIPAL,ESTADO_TRADUCCION,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,30
Argentina,2012,0 - Generalidades,NO TRADUCIDO,ATLANTIDA,49
Argentina,2012,0 - Generalidades,NO TRADUCIDO,CENTRO TECNOLOGICO DE ENTRENAMIENTO Y CAPACITACION - CTEC,100
Argentina,2012,0 - Generalidades,NO TRADUCIDO,EDITORIAL SUDAMERICANA,74
Argentina,2012,0 - Generalidades,NO TRADUCIDO,FOX ANDINA S.A.,46
Argentina,2012,0 - Generalidades,TRADUCIDO,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,TRADUCIDO,ESENCIA,3
Argentina,2012,0 - Generalidades,TRADUCIDO,GRANICA,1
Argentina,2012,0 - Generalidades,TRADUCIDO,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,TRADUCIDO,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",59
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,EDICION DEL AUTOR,71
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,EDITORIAL SUDAMERICANA,75
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,EL ARTE DE VIVIR,73
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,ESENCIA,66
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,SIGLO XXI EDITORES,7
Argentina,2012,200 - Religión,NO TRADUCIDO,AGAPE LIBROS,41
Argentina,2012,200 - Religión,NO TRADUCIDO,EDICION DEL AUTOR,45
Argentina,2012,200 - Religión,NO TRADUCIDO,EDITORIAL SUDAMERICANA,36
Argentina,2012,200 - Religión,NO TRADUCIDO,PENIEL,44
Argentina,2012,200 - Religión,NO TRADUCIDO,SAN PABLO,56
Argentina,2012,200 - Religión,TRADUCIDO,ANTROPOSOFICA,15
Argentina,2012,200 - Religión,TRADUCIDO,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2012,200 - Religión,TRADUCIDO,BNEI SHOLEM,7
Argentina,2012,200 - Religión,TRADUCIDO,EDITORIAL SUDAMERICANA,89
Argentina,2012,200 - Religión,TRADUCIDO,PENIEL,31
Argentina,2012,300 - Ciencias sociales,NO TRADUCIDO,ABELEDO PERROT,196
Argentina,2012,300 - Ciencias sociales,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,122
Argentina,2012,300 - Ciencias sociales,NO TRADUCIDO,EDICION DEL AUTOR,205
Argentina,2012,300 - Ciencias sociales,NO TRADUCIDO,GRUPO SANTILLANA,335
Argentina,2012,300 - Ciencias sociales,NO TRADUCIDO,LA LEY,233
Argentina,2012,300 - Ciencias sociales,TRADUCIDO,ANTROPOSOFICA,6
Argentina,2012,300 - Ciencias sociales,TRADUCIDO,EDITORIAL GUADAL,8
Argentina,2012,300 - Ciencias sociales,TRADUCIDO,GRUPO PAIDOS,17
Argentina,2012,300 - Ciencias sociales,TRADUCIDO,SIGLO XXI EDITORES,11
Argentina,2012,300 - Ciencias sociales,TRADUCIDO,UNIVERSIDAD DE PALERMO - UP,8
Argentina,2012,400 - Lenguas,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,70
Argentina,2012,400 - Lenguas,NO TRADUCIDO,GRUPO SANTILLANA,133
Argentina,2012,400 - Lenguas,NO TRADUCIDO,HUB EDITORIAL,57
Argentina,2012,400 - Lenguas,NO TRADUCIDO,MACMILLAN,25
Argentina,2012,400 - Lenguas,NO TRADUCIDO,PEARSON,31
Argentina,2012,400 - Lenguas,TRADUCIDO,AZ EDITORA S.A.,3
Argentina,2012,400 - Lenguas,TRADUCIDO,DEL CALDERON,1
Argentina,2012,400 - Lenguas,TRADUCIDO,ESENCIA,4
Argentina,2012,400 - Lenguas,TRADUCIDO,GALERNA,1
Argentina,2012,400 - Lenguas,TRADUCIDO,LOSADA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,22
Argentina,2012,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,EDICION DEL AUTOR,18
Argentina,2012,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,EUDEBA,14
Argentina,2012,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,GRUPO SANTILLANA,69
Argentina,2012,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,UNIVERSIDAD NACIONAL DE LA PLATA,22
Argentina,2012,500 - Ciencias naturales y matemáticas,TRADUCIDO,ANTROPOSOFICA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,TRADUCIDO,CATAPULTA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,TRADUCIDO,DE LA CAMPANA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,TRADUCIDO,EDITORIAL SUDAMERICANA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,TRADUCIDO,GRUPO PAIDOS,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,97
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,EDICION DEL AUTOR,74
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,EDICIONES LEA,183
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,INSITITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA. I.N.T.A.,75
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,LETBAR ASOCIADOS,90
Argentina,2012,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,ANTROPOSOFICA,8
Argentina,2012,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,EDITORIAL MEDICA PANAMERICANA,12
Argentina,2012,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,GRUPO PAIDOS,9
Argentina,2012,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,INTER-MEDICA,6
Argentina,2012,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,READER'S DIGEST ARGENTINA S.R.L.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,123
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,EDITORIAL VERTICE,113
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,ESENCIA,130
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,MATIAS MARTINO EDITOR,170
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,NOBUKO,82
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,CATAPULTA,23
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,CYPRES,9
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,EDITORIAL GUADAL,16
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,OVNI PRESS,41
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,PLANETA DE AGOSTINI,6
Argentina,2012,800 - Literatura y retórica,NO TRADUCIDO,"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",271
Argentina,2012,800 - Literatura y retórica,NO TRADUCIDO,EDICION DEL AUTOR,777
Argentina,2012,800 - Literatura y retórica,NO TRADUCIDO,EDITORIAL DUNKEN,461
Argentina,2012,800 - Literatura y retórica,NO TRADUCIDO,EDITORIAL SUDAMERICANA,322
Argentina,2012,800 - Literatura y retórica,NO TRADUCIDO,ESENCIA,250
Argentina,2012,800 - Literatura y retórica,TRADUCIDO,EDITORIAL GUADAL,79
Argentina,2012,800 - Literatura y retórica,TRADUCIDO,EDITORIAL SUDAMERICANA,138
Argentina,2012,800 - Literatura y retórica,TRADUCIDO,ESENCIA,104
Argentina,2012,800 - Literatura y retórica,TRADUCIDO,LOSADA,42
Argentina,2012,800 - Literatura y retórica,TRADUCIDO,V & R EDITORAS S.A.,49
Argentina,2012,900 - Geografía e historia,NO TRADUCIDO,EDICION DEL AUTOR,118
Argentina,2012,900 - Geografía e historia,NO TRADUCIDO,EDITORIAL DUNKEN,47
Argentina,2012,900 - Geografía e historia,NO TRADUCIDO,EDITORIAL SUDAMERICANA,77
Argentina,2012,900 - Geografía e historia,NO TRADUCIDO,ESENCIA,45
Argentina,2012,900 - Geografía e historia,NO TRADUCIDO,GRUPO SANTILLANA,98
Argentina,2012,900 - Geografía e historia,TRADUCIDO,ANTROPOSOFICA,7
Argentina,2012,900 - Geografía e historia,TRADUCIDO,CATAPULTA,2
Argentina,2012,900 - Geografía e historia,TRADUCIDO,EDICION DEL AUTOR,2
Argentina,2012,900 - Geografía e historia,TRADUCIDO,GRUPO PAIDOS,7
Argentina,2012,900 - Geografía e historia,TRADUCIDO,TUSQUETS EDITORES,4
Argentina,2012,SIN IDENTIFICAR,NO TRADUCIDO,EDICION DEL AUTOR,16
Argentina,2012,SIN IDENTIFICAR,NO TRADUCIDO,EDITORIAL SUDAMERICANA,20
Argentina,2012,SIN IDENTIFICAR,NO TRADUCIDO,ESENCIA,19
Argentina,2012,SIN IDENTIFICAR,NO TRADUCIDO,MOGLIA EDICIONES,9
Argentina,2012,SIN IDENTIFICAR,NO TRADUCIDO,PLUMA Y PAPEL,13
Argentina,2012,SIN IDENTIFICAR,TRADUCIDO,ASOCIACION BUDISTA - IBPS ARGENTINA,1
Argentina,2012,SIN IDENTIFICAR,TRADUCIDO,EDITORIAL GUADAL,2
Argentina,2012,SIN IDENTIFICAR,TRADUCIDO,WINOGRAD,1
Argentina,2013,0 - Generalidades,NO TRADUCIDO,FOX ANDINA S.A.,61
Argentina,2013,0 - Generalidades,NO TRADUCIDO,GRUPO PLANETA,26
Argentina,2013,0 - Generalidades,NO TRADUCIDO,GRUPO VISOR E.A.S.A.,22
Argentina,2013,0 - Generalidades,NO TRADUCIDO,INTEGRACION Y DESARROLLO S.A.,22
Argentina,2013,0 - Generalidades,NO TRADUCIDO,SIN DATO,16
Argentina,2013,0 - Generalidades,TRADUCIDO,ASOCIACION EDUCACIONISTA ARGENTINA,2
Argentina,2013,0 - Generalidades,TRADUCIDO,EDICIONES GRANICA S.A.,1
Argentina,2013,0 - Generalidades,TRADUCIDO,GRUPO PAIDOS,2
Argentina,2013,0 - Generalidades,TRADUCIDO,SIGLO XXI EDITORES,1
Argentina,2013,100 - Filosofía y psicología,NO TRADUCIDO,EDITORIAL DEL NUEVO EXTREMO S.A.,54
Argentina,2013,100 - Filosofía y psicología,NO TRADUCIDO,EDITORIAL DUNKEN,61
Argentina,2013,100 - Filosofía y psicología,NO TRADUCIDO,GRUPO PAIDOS,57
Argentina,2013,100 - Filosofía y psicología,NO TRADUCIDO,SIN DATO,64
Argentina,2013,100 - Filosofía y psicología,NO TRADUCIDO,VI-DA GLOBAL S.A.,85
Argentina,2013,100 - Filosofía y psicología,TRADUCIDO,AMORRORTU EDITORES S.A.,10
Argentina,2013,100 - Filosofía y psicología,TRADUCIDO,GRUPAL LOGISTICA Y DISTRIBUIDORA S.A.,11
Argentina,2013,100 - Filosofía y psicología,TRADUCIDO,GRUPO PAIDOS,13
Argentina,2013,100 - Filosofía y psicología,TRADUCIDO,"IRES, PABLO ARIEL",6
Argentina,2013,100 - Filosofía y psicología,TRADUCIDO,SIGLO XXI EDITORES,30
Argentina,2013,200 - Religión,NO TRADUCIDO,"COLABELLI, IGNACIO JAVIER",46
Argentina,2013,200 - Religión,NO TRADUCIDO,EDITORIAL SUDAMERICANA,35
Argentina,2013,200 - Religión,NO TRADUCIDO,MISIONEROS CLARETIANOS,37
Argentina,2013,200 - Religión,NO TRADUCIDO,PPC ARGENTINA S.A.,47
Argentina,2013,200 - Religión,NO TRADUCIDO,SIN DATO,36
Argentina,2013,200 - Religión,TRADUCIDO,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2013,200 - Religión,TRADUCIDO,ASOCIACION CIVIL PERSPECTIVAS BET MIDRASH,5
Argentina,2013,200 - Religión,TRADUCIDO,EDITORIAL SUDAMERICANA,85
Argentina,2013,200 - Religión,TRADUCIDO,"GARCIA, RUFINO",14
Argentina,2013,200 - Religión,TRADUCIDO,PRODUCCIONES PENIEL S.R.L.,29
Argentina,2013,300 - Ciencias sociales,NO TRADUCIDO,ABELEDO PERROT,172
Argentina,2013,300 - Ciencias sociales,NO TRADUCIDO,ERREPAR,128
Argentina,2013,300 - Ciencias sociales,NO TRADUCIDO,GRUPO SANTILLANA,191
Argentina,2013,300 - Ciencias sociales,NO TRADUCIDO,LA LEY,213
Argentina,2013,300 - Ciencias sociales,NO TRADUCIDO,SIN DATO,142
Argentina,2013,300 - Ciencias sociales,TRADUCIDO,CATAPULTA CHILDREN ENTERTAINMENT S.A.,5
Argentina,2013,300 - Ciencias sociales,TRADUCIDO,"GIANNA, SERGIO DANIEL",6
Argentina,2013,300 - Ciencias sociales,TRADUCIDO,GRUPO ILHSA S.A.,5
Argentina,2013,300 - Ciencias sociales,TRADUCIDO,GRUPO PAIDOS,9
Argentina,2013,300 - Ciencias sociales,TRADUCIDO,SIGLO XXI EDITORES,6
Argentina,2013,400 - Lenguas,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,12
Argentina,2013,400 - Lenguas,NO TRADUCIDO,ASOCIACION COOPERADORA FACULTAD DE LENGUAS DE LA UNIVERSIDAD NACIONAL DE CORDOBA,13
Argentina,2013,400 - Lenguas,NO TRADUCIDO,FABIANE CINARA LIMA DA SILVA,10
Argentina,2013,400 - Lenguas,NO TRADUCIDO,GRUPO SANTILLANA,100
Argentina,2013,400 - Lenguas,NO TRADUCIDO,MACMILLAN PUBLISHERS S.A.,27
Argentina,2013,400 - Lenguas,TRADUCIDO,AMORRORTU EDITORES S.A.,2
Argentina,2013,400 - Lenguas,TRADUCIDO,AZ EDITORA S.A.,3
Argentina,2013,400 - Lenguas,TRADUCIDO,"BALLARINI, STELLA MARYS SERVICIO TECNICO PROFESIONAL",1
Argentina,2013,400 - Lenguas,TRADUCIDO,DEDALUS EDITORES,2
Argentina,2013,400 - Lenguas,TRADUCIDO,V & R EDITORAS S.A.,2
Argentina,2013,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,INSITITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA. I.N.T.A.,19
Argentina,2013,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,SIN DATO,31
Argentina,2013,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,UNIVERSIDAD DE LA PUNTA,18
Argentina,2013,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,UNIVERSIDAD NACIONAL DE LA PLATA,21
Argentina,2013,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,UNIVERSIDAD NACIONAL DE TUCUMAN,19
Argentina,2013,500 - Ciencias naturales y matemáticas,TRADUCIDO,"CAMPANARO, RAUL ALEJANDRO",1
Argentina,2013,500 - Ciencias naturales y matemáticas,TRADUCIDO,"GARCIA, RUFINO",1
Argentina,2013,500 - Ciencias naturales y matemáticas,TRADUCIDO,GRUPO PAIDOS,2
Argentina,2013,500 - Ciencias naturales y matemáticas,TRADUCIDO,PLOW S.R.L.,5
Argentina,2013,500 - Ciencias naturales y matemáticas,TRADUCIDO,TUSQUETS EDITORES,4
Argentina,2013,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,58
Argentina,2013,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,EDICIONES LEA,90
Argentina,2013,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,GRUPO PLANETA,100
Argentina,2013,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,INSITITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA. I.N.T.A.,191
Argentina,2013,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,SIN DATO,70
Argentina,2013,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,ANEJO PRODUCCIONES,7
Argentina,2013,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,EDICIONES CONTINENTE S.R.L.,4
Argentina,2013,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,EDICIONES LEA,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,EDITORIAL INTER-MEDICA S.A.,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,GABA S.R.L.,4
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,110
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,EDITORIAL GUADAL,183
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,EDITORIAL VERTICE,362
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,GRUPO PLANETA,118
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,NO TRADUCIDO,MATIAS MARTINO EDITOR,252
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,CATAPULTA CHILDREN ENTERTAINMENT S.A.,36
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,EDITORIAL GUADAL,14
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,GRUPO PAIDOS,5
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,GRUPO PLANETA,28
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,TRADUCIDO,V & R EDITORAS S.A.,6
Argentina,2013,800 - Literatura y retórica,NO TRADUCIDO,EDITORIAL DUNKEN,450
Argentina,2013,800 - Literatura y retórica,NO TRADUCIDO,EDITORIAL GUADAL,311
Argentina,2013,800 - Literatura y retórica,NO TRADUCIDO,GRUPO PLANETA,382
Argentina,2013,800 - Literatura y retórica,NO TRADUCIDO,RANDOM HOUSE MONDADORI S.A.,285
Argentina,2013,800 - Literatura y retórica,NO TRADUCIDO,SIN DATO,621
Argentina,2013,800 - Literatura y retórica,TRADUCIDO,GRUPO PLANETA,49
Argentina,2013,800 - Literatura y retórica,TRADUCIDO,LA BESTIA EQUILATERA S.R.L.,23
Argentina,2013,800 - Literatura y retórica,TRADUCIDO,LOSADA S.A.,28
Argentina,2013,800 - Literatura y retórica,TRADUCIDO,TUSQUETS EDITORES,44
Argentina,2013,800 - Literatura y retórica,TRADUCIDO,V & R EDITORAS S.A.,74
Argentina,2013,900 - Geografía e historia,NO TRADUCIDO,"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",54
Argentina,2013,900 - Geografía e historia,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,39
Argentina,2013,900 - Geografía e historia,NO TRADUCIDO,EDITORIAL DUNKEN,67
Argentina,2013,900 - Geografía e historia,NO TRADUCIDO,GRUPO PLANETA,59
Argentina,2013,900 - Geografía e historia,NO TRADUCIDO,SIN DATO,103
Argentina,2013,900 - Geografía e historia,TRADUCIDO,ASOCIACION CIVIL CENTRO DE ESTUDIOS E INVESTIGACION EN CIENCIAS SOCIALES - CEICS,4
Argentina,2013,900 - Geografía e historia,TRADUCIDO,EDHASA S.A.,4
Argentina,2013,900 - Geografía e historia,TRADUCIDO,"GARGIULO, FEDERICO EZEQUIEL",6
Argentina,2013,900 - Geografía e historia,TRADUCIDO,GRUPO PAIDOS,8
Argentina,2013,900 - Geografía e historia,TRADUCIDO,TUSQUETS EDITORES,7
Argentina,2013,SIN IDENTIFICAR,NO TRADUCIDO,EDITORIAL ALBATROS S.A.C.I.,11
Argentina,2013,SIN IDENTIFICAR,NO TRADUCIDO,GRUPO PAIDOS,9
Argentina,2013,SIN IDENTIFICAR,NO TRADUCIDO,GRUPO PLANETA,7
Argentina,2013,SIN IDENTIFICAR,NO TRADUCIDO,PRODUCCIONES PENIEL S.R.L.,16
Argentina,2013,SIN IDENTIFICAR,NO TRADUCIDO,SIN DATO,9
Argentina,2013,SIN IDENTIFICAR,TRADUCIDO,EDICIONES MANANTIAL S.R.L.,1
Argentina,2013,SIN IDENTIFICAR,TRADUCIDO,EDITORIAL INTER-MEDICA S.A.,1
Argentina,2013,SIN IDENTIFICAR,TRADUCIDO,FUNDACION LUCIS,1
Argentina,2013,SIN IDENTIFICAR,TRADUCIDO,"GARCIA, RUFINO",1
Argentina,2013,SIN IDENTIFICAR,TRADUCIDO,"TORRES, CARLOS",2
Argentina,2014,0 - Generalidades,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,16
Argentina,2014,0 - Generalidades,NO TRADUCIDO,EDICION DEL AUTOR,40
Argentina,2014,0 - Generalidades,NO TRADUCIDO,FOX ANDINA S.A.,84
Argentina,2014,0 - Generalidades,NO TRADUCIDO,INTEGRACION Y DESARROLLO S.A.,46
Argentina,2014,0 - Generalidades,NO TRADUCIDO,RH MONDADORI,51
Argentina,2014,0 - Generalidades,TRADUCIDO,RH MONDADORI,1
Argentina,2014,0 - Generalidades,TRADUCIDO,SUDPOL,1
Argentina,2014,0 - Generalidades,TRADUCIDO,TUSQUETS EDITORES,1
Argentina,2014,100 - Filosofía y psicología,NO TRADUCIDO,EDICION DEL AUTOR,135
Argentina,2014,100 - Filosofía y psicología,NO TRADUCIDO,EDITORIAL DUNKEN,62
Argentina,2014,100 - Filosofía y psicología,NO TRADUCIDO,GRUPO PAIDOS,85
Argentina,2014,100 - Filosofía y psicología,NO TRADUCIDO,GRUPO PLANETA,60
Argentina,2014,100 - Filosofía y psicología,NO TRADUCIDO,RH MONDADORI,54
Argentina,2014,100 - Filosofía y psicología,TRADUCIDO,AMORRORTU EDITORES S.A.,21
Argentina,2014,100 - Filosofía y psicología,TRADUCIDO,EDICION DEL AUTOR,7
Argentina,2014,100 - Filosofía y psicología,TRADUCIDO,EDICIONES CONTINENTE S.R.L.,22
Argentina,2014,100 - Filosofía y psicología,TRADUCIDO,RH MONDADORI,25
Argentina,2014,100 - Filosofía y psicología,TRADUCIDO,SIGLO XXI EDITORES,16
Argentina,2014,200 - Religión,NO TRADUCIDO,EDICION DEL AUTOR,83
Argentina,2014,200 - Religión,NO TRADUCIDO,EDICIONES LOGOS S.A.,37
Argentina,2014,200 - Religión,NO TRADUCIDO,EDITORIAL SUDAMERICANA,37
Argentina,2014,200 - Religión,NO TRADUCIDO,MISIONEROS CLARETIANOS,86
Argentina,2014,200 - Religión,NO TRADUCIDO,PPC ARGENTINA S.A.,62
Argentina,2014,200 - Religión,TRADUCIDO,ASOCIACION ISRAELITA BNEI SHOLEM,13
Argentina,2014,200 - Religión,TRADUCIDO,EDITORIAL PENIEL,19
Argentina,2014,200 - Religión,TRADUCIDO,EDITORIAL SUDAMERICANA,55
Argentina,2014,200 - Religión,TRADUCIDO,"GARCIA, RUFINO",22
Argentina,2014,200 - Religión,TRADUCIDO,THE BHAKTIVEDANTA BOOK TRUST ARGENTINA,15
Argentina,2014,300 - Ciencias sociales,NO TRADUCIDO,EDICION DEL AUTOR,369
Argentina,2014,300 - Ciencias sociales,NO TRADUCIDO,EDICIONES PLAZA,141
Argentina,2014,300 - Ciencias sociales,NO TRADUCIDO,GRUPO SANTILLANA,151
Argentina,2014,300 - Ciencias sociales,NO TRADUCIDO,LA LEY,140
Argentina,2014,300 - Ciencias sociales,NO TRADUCIDO,UNIVERSIDAD DE BUENOS AIRES,127
Argentina,2014,300 - Ciencias sociales,TRADUCIDO,AMORRORTU EDITORES S.A.,3
Argentina,2014,300 - Ciencias sociales,TRADUCIDO,CATAPULTA CHILDREN ENTERTAINMENT S.A.,9
Argentina,2014,300 - Ciencias sociales,TRADUCIDO,EDHASA S.A.,3
Argentina,2014,300 - Ciencias sociales,TRADUCIDO,RH MONDADORI,5
Argentina,2014,300 - Ciencias sociales,TRADUCIDO,SIGLO XXI EDITORES,34
Argentina,2014,400 - Lenguas,NO TRADUCIDO,EDICION DEL AUTOR,34
Argentina,2014,400 - Lenguas,NO TRADUCIDO,FL COPIAS EDICIONES,22
Argentina,2014,400 - Lenguas,NO TRADUCIDO,GRUPO SANTILLANA,42
Argentina,2014,400 - Lenguas,NO TRADUCIDO,PEARSON,21
Argentina,2014,400 - Lenguas,NO TRADUCIDO,UNIVERSIDAD NACIONAL DE CORDOBA,12
Argentina,2014,400 - Lenguas,TRADUCIDO,EDICIONES AKAL,1
Argentina,2014,400 - Lenguas,TRADUCIDO,GRUPO SANTILLANA,1
Argentina,2014,400 - Lenguas,TRADUCIDO,INTERZONA EDITORA S.A.,1
Argentina,2014,400 - Lenguas,TRADUCIDO,SIGLO XXI EDITORES,4
Argentina,2014,400 - Lenguas,TRADUCIDO,UNIVERSIDAD NACIONAL DE FORMOSA,2
Argentina,2014,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,EDICION DEL AUTOR,67
Argentina,2014,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,GRUPO SANTILLANA,20
Argentina,2014,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,UNIVERSIDAD NACIONAL DE RIO CUARTO,21
Argentina,2014,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,UNIVERSIDAD NACIONAL SANTIAGO DEL ESTERO,22
Argentina,2014,500 - Ciencias naturales y matemáticas,NO TRADUCIDO,VI-DA GLOBAL S.A.,27
Argentina,2014,500 - Ciencias naturales y matemáticas,TRADUCIDO,BARCELBAIRES EDICIONES S.A.,1
Argentina,2014,500 - Ciencias naturales y matemáticas,TRADUCIDO,CONTRATIEMPO EDICIONES,1
Argentina,2014,500 - Ciencias naturales y matemáticas,TRADUCIDO,MINERA ALUMBRERA LIMITED,2
Argentina,2014,500 - Ciencias naturales y matemáticas,TRADUCIDO,SIGLO XXI EDITORES,2
Argentina,2014,500 - Ciencias naturales y matemáticas,TRADUCIDO,TUSQUETS EDITORES,2
Argentina,2014,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,60
Argentina,2014,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,EDICION DEL AUTOR,165
Argentina,2014,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,EDICIONES JOURNAL S.A.,47
Argentina,2014,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,GRUPO PLANETA,43
Argentina,2014,600 - Tecnología (Ciencias aplicadas),NO TRADUCIDO,INSITITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA. I.N.T.A.,92
Argentina,2014,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,ANEJO PRODUCCIONES,18
Argentina,2014,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,EDITORIAL INTER-MEDICA S.A.,5
Argentina,2014,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,EDITORIAL MEDICA PANAMERICANA,10
Argentina,2014,600 - Tecnología (Ciencias aplicadas),TRADUCIDO,JOSE LUIS Y SILVIA CINALLI EDITORES,6
