PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,ESENCIA,3
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,GRANICA,1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,7
Argentina,2012,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD PEDAGOGICA DE BUENOS AIRES,1
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,ANTROPOSOFICA,15
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,CERTEZA ARGENTINA,3
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,89
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,PENIEL,31
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,PROMETEO EDITORES,3
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,ANTROPOSOFICA,6
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,EDITORIAL GUADAL,8
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,4
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,GRUPO PAIDOS,17
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,11
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,EDITORIAL DE LA UNC,1
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD DE PALERMO - UP,8
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE QUILMES,2
Argentina,2012,400  - Lenguas,EDITORIAL COMERCIAL,LOSADA,1
Argentina,2012,400 - Lenguas,EDITORIAL COMERCIAL,AZ EDITORA S.A.,3
Argentina,2012,400 - Lenguas,EDITORIAL COMERCIAL,ESENCIA,4
Argentina,2012,400 - Lenguas,EDITORIAL COMERCIAL,GALERNA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,ANTROPOSOFICA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,CATAPULTA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,EDITORIAL GUADAL,1
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,GRUPO PAIDOS,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,ANTROPOSOFICA,8
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDITORIAL MEDICA PANAMERICANA,12
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,GRUPO PAIDOS,9
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,INTER-MEDICA,6
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,READER'S DIGEST ARGENTINA S.R.L.,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CYPRES,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,GRUPO PAIDOS,1
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,LARP EDITORES,2
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,OVNI PRESS,41
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,BARCELBAIRES EDICIONES S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CATAPULTA,23
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CYPRES,5
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,EDITORIAL GUADAL,16
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,PLANETA DE AGOSTINI,6
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,1
Argentina,2012,800 - Literatura y retórica,EDITORIAL COMERCIAL,EDITORIAL GUADAL,79
Argentina,2012,800 - Literatura y retórica,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,138
Argentina,2012,800 - Literatura y retórica,EDITORIAL COMERCIAL,ESENCIA,104
Argentina,2012,800 - Literatura y retórica,EDITORIAL COMERCIAL,LOSADA,42
Argentina,2012,800 - Literatura y retórica,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,49
Argentina,2012,800 - Literatura y retórica,EDITORIAL UNIVERSITARIA,EUDEM - EDITORIAL DE LA UNIVERSIDAD NACIONAL DE MAR DEL PLATA,1
Argentina,2012,900 - Geografía e historia,EDITORIAL COMERCIAL,ANTROPOSOFICA,7
Argentina,2012,900 - Geografía e historia,EDITORIAL COMERCIAL,CATAPULTA,2
Argentina,2012,900 - Geografía e historia,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,2
Argentina,2012,900 - Geografía e historia,EDITORIAL COMERCIAL,GRUPO PAIDOS,7
Argentina,2012,900 - Geografía e historia,EDITORIAL COMERCIAL,TUSQUETS EDITORES,4
Argentina,2012,900 - Geografía e historia,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE QUILMES,1
Argentina,2012,SIN IDENTIFICAR,EDITORIAL COMERCIAL,EDITORIAL GUADAL,2
Argentina,2012,SIN IDENTIFICAR,EDITORIAL COMERCIAL,WINOGRAD,1
Argentina,2013,0 - Generalidades,EDITORIAL COMERCIAL,ASOCIACION EDUCACIONISTA ARGENTINA,2
Argentina,2013,0 - Generalidades,EDITORIAL COMERCIAL,EDICIONES GRANICA S.A.,1
Argentina,2013,0 - Generalidades,EDITORIAL COMERCIAL,GRUPO PAIDOS,2
Argentina,2013,0 - Generalidades,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,1
Argentina,2013,100 - Filosofía y psicología,EDITORIAL COMERCIAL,AMORRORTU EDITORES S.A.,10
Argentina,2013,100 - Filosofía y psicología,EDITORIAL COMERCIAL,GRUPAL LOGISTICA Y DISTRIBUIDORA S.A.,11
Argentina,2013,100 - Filosofía y psicología,EDITORIAL COMERCIAL,GRUPO PAIDOS,13
Argentina,2013,100 - Filosofía y psicología,EDITORIAL COMERCIAL,"IRES, PABLO ARIEL",6
Argentina,2013,100 - Filosofía y psicología,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,30
Argentina,2013,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,1
Argentina,2013,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD PEDAGOGICA DE BUENOS AIRES,1
Argentina,2013,200 - Religión,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,85
Argentina,2013,200 - Religión,EDITORIAL COMERCIAL,"GARCIA, RUFINO",14
Argentina,2013,200 - Religión,EDITORIAL COMERCIAL,GRUPAL LOGISTICA Y DISTRIBUIDORA S.A.,3
Argentina,2013,200 - Religión,EDITORIAL COMERCIAL,LONGSELLER S.A.,3
Argentina,2013,200 - Religión,EDITORIAL COMERCIAL,PRODUCCIONES PENIEL S.R.L.,29
Argentina,2013,300 - Ciencias sociales,EDITORIAL COMERCIAL,AMORRORTU EDITORES S.A.,4
Argentina,2013,300 - Ciencias sociales,EDITORIAL COMERCIAL,CATAPULTA CHILDREN ENTERTAINMENT S.A.,5
Argentina,2013,300 - Ciencias sociales,EDITORIAL COMERCIAL,GRUPO ILHSA S.A.,5
Argentina,2013,300 - Ciencias sociales,EDITORIAL COMERCIAL,GRUPO PAIDOS,9
Argentina,2013,300 - Ciencias sociales,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,6
Argentina,2013,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,EDITORIAL UNIVERSITARIA DE BUENOS AIRES S.E.M.,1
Argentina,2013,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,NUEVA EDITORIAL UNIVERSITARIA - U.N.S.L.,1
Argentina,2013,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,1
Argentina,2013,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GRAL. SAN MARTIN,2
Argentina,2013,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,1
Argentina,2013,400 - Lenguas,EDITORIAL COMERCIAL,AMORRORTU EDITORES S.A.,2
Argentina,2013,400 - Lenguas,EDITORIAL COMERCIAL,AZ EDITORA S.A.,3
Argentina,2013,400 - Lenguas,EDITORIAL COMERCIAL,"BALLARINI, STELLA MARYS SERVICIO TECNICO PROFESIONAL",1
Argentina,2013,400 - Lenguas,EDITORIAL COMERCIAL,DEDALUS EDITORES,2
Argentina,2013,400 - Lenguas,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,2
Argentina,2013,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,"CAMPANARO, RAUL ALEJANDRO",1
Argentina,2013,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,"GARCIA, RUFINO",1
Argentina,2013,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,GRUPO PAIDOS,2
Argentina,2013,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,PLOW S.R.L.,5
Argentina,2013,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,TUSQUETS EDITORES,4
Argentina,2013,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,ANEJO PRODUCCIONES,7
Argentina,2013,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDICIONES CONTINENTE S.R.L.,4
Argentina,2013,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDICIONES LEA,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDITORIAL INTER-MEDICA S.A.,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,GABA S.R.L.,4
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,GRUPO PAIDOS,1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,"GUTIERREZ DE ANGELIS, MARINA",1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,PABLO COSTA,1
Argentina,2013,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,VIAF S.A.,1
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CATAPULTA CHILDREN ENTERTAINMENT S.A.,36
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,EDITORIAL GUADAL,14
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,GRUPO PAIDOS,4
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,GRUPO PLANETA,28
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,6
Argentina,2013,800 - Literatura y retórica,EDITORIAL COMERCIAL,GRUPO PLANETA,49
Argentina,2013,800 - Literatura y retórica,EDITORIAL COMERCIAL,LA BESTIA EQUILATERA S.R.L.,23
Argentina,2013,800 - Literatura y retórica,EDITORIAL COMERCIAL,LOSADA S.A.,28
Argentina,2013,800 - Literatura y retórica,EDITORIAL COMERCIAL,TUSQUETS EDITORES,44
Argentina,2013,800 - Literatura y retórica,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,74
Argentina,2013,800 - Literatura y retórica,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE CORDOBA,1
Argentina,2013,900 - Geografía e historia,EDITORIAL COMERCIAL,EDHASA S.A.,4
Argentina,2013,900 - Geografía e historia,EDITORIAL COMERCIAL,"GARGIULO, FEDERICO EZEQUIEL",6
Argentina,2013,900 - Geografía e historia,EDITORIAL COMERCIAL,GRUPO PAIDOS,8
Argentina,2013,900 - Geografía e historia,EDITORIAL COMERCIAL,GRUPO PLANETA,3
Argentina,2013,900 - Geografía e historia,EDITORIAL COMERCIAL,TUSQUETS EDITORES,7
Argentina,2013,SIN IDENTIFICAR,EDITORIAL COMERCIAL,EDICIONES MANANTIAL S.R.L.,1
Argentina,2013,SIN IDENTIFICAR,EDITORIAL COMERCIAL,EDITORIAL INTER-MEDICA S.A.,1
Argentina,2013,SIN IDENTIFICAR,EDITORIAL COMERCIAL,"GARCIA, RUFINO",1
Argentina,2013,SIN IDENTIFICAR,EDITORIAL COMERCIAL,GRUPO PAIDOS,1
Argentina,2013,SIN IDENTIFICAR,EDITORIAL COMERCIAL,"TORRES, CARLOS",2
Argentina,2014,0 - Generalidades,EDITORIAL COMERCIAL,RH MONDADORI,1
Argentina,2014,0 - Generalidades,EDITORIAL COMERCIAL,TUSQUETS EDITORES,1
Argentina,2014,100 - Filosofía y psicología,EDITORIAL COMERCIAL,AMORRORTU EDITORES S.A.,21
Argentina,2014,100 - Filosofía y psicología,EDITORIAL COMERCIAL,EDICIONES CONTINENTE S.R.L.,22
Argentina,2014,100 - Filosofía y psicología,EDITORIAL COMERCIAL,RH MONDADORI,25
Argentina,2014,100 - Filosofía y psicología,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,16
Argentina,2014,100 - Filosofía y psicología,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,7
Argentina,2014,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,1
Argentina,2014,200 - Religión,EDITORIAL COMERCIAL,EDITORIAL BONUM S.A.,6
Argentina,2014,200 - Religión,EDITORIAL COMERCIAL,EDITORIAL PENIEL,19
Argentina,2014,200 - Religión,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,55
Argentina,2014,200 - Religión,EDITORIAL COMERCIAL,"GARCIA, RUFINO",22
Argentina,2014,200 - Religión,EDITORIAL COMERCIAL,THE BHAKTIVEDANTA BOOK TRUST ARGENTINA,15
Argentina,2014,200 - Religión,EDITORIAL UNIVERSITARIA,UNIVERSIDAD F.A.S.T.A.,1
Argentina,2014,300 - Ciencias sociales,EDITORIAL COMERCIAL,AMORRORTU EDITORES S.A.,3
Argentina,2014,300 - Ciencias sociales,EDITORIAL COMERCIAL,CATAPULTA CHILDREN ENTERTAINMENT S.A.,9
Argentina,2014,300 - Ciencias sociales,EDITORIAL COMERCIAL,EDHASA S.A.,3
Argentina,2014,300 - Ciencias sociales,EDITORIAL COMERCIAL,RH MONDADORI,5
Argentina,2014,300 - Ciencias sociales,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,34
Argentina,2014,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD DE BUENOS AIRES,2
Argentina,2014,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MORENO,1
Argentina,2014,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE QUILMES,1
Argentina,2014,400  - Lenguas,EDITORIAL COMERCIAL,EDICIONES AKAL,1
Argentina,2014,400  - Lenguas,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,3
Argentina,2014,400  - Lenguas,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE FORMOSA,2
Argentina,2014,400 - Lenguas,EDITORIAL COMERCIAL,GRUPO SANTILLANA,1
Argentina,2014,400 - Lenguas,EDITORIAL COMERCIAL,INTERZONA EDITORA S.A.,1
Argentina,2014,400 - Lenguas,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,1
Argentina,2014,400 - Lenguas,EDITORIAL COMERCIAL,TUSQUETS EDITORES,1
Argentina,2014,400 - Lenguas,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MORENO,1
Argentina,2014,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,BARCELBAIRES EDICIONES S.A.,1
Argentina,2014,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,CONTRATIEMPO EDICIONES,1
Argentina,2014,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,EDICIONES LEA,1
Argentina,2014,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,2
Argentina,2014,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,TUSQUETS EDITORES,2
Argentina,2014,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,ANEJO PRODUCCIONES,18
Argentina,2014,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDITORIAL INTER-MEDICA S.A.,5
Argentina,2014,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDITORIAL MEDICA PANAMERICANA,10
Argentina,2014,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,JOSE LUIS Y SILVIA CINALLI EDITORES,6
Argentina,2014,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,V & R EDITORAS S.A.,8
Argentina,2014,600 - Tecnología (Ciencias aplicadas),EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE ROSARIO,2
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,ASUNTO IMPRESO S.R.L.,1
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,EDHASA S.A.,1
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,EDITORIAL EL ATENEO,1
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,RH MONDADORI,14
Argentina,2014,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,SANS SOLEIL EDICIONES ARGENTINA,1
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,ADRIANA HIDALGO EDITORA,4
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,ASUNTO IMPRESO S.R.L.,4
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CATAPULTA CHILDREN ENTERTAINMENT S.A.,37
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,EDICIONES MANANTIAL S.R.L.,4
Argentina,2014,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,14
Argentina,2014,800 - Literatura y retórica,EDITORIAL COMERCIAL,EDITORIAL LOSADA,31
Argentina,2014,800 - Literatura y retórica,EDITORIAL COMERCIAL,GRUPO SANTILLANA,62
Argentina,2014,800 - Literatura y retórica,EDITORIAL COMERCIAL,RH MONDADORI,159
Argentina,2014,800 - Literatura y retórica,EDITORIAL COMERCIAL,TUSQUETS EDITORES,32
Argentina,2014,800 - Literatura y retórica,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,55
Argentina,2014,900 - Geografía e historia,EDITORIAL COMERCIAL,EDHASA S.A.,3
Argentina,2014,900 - Geografía e historia,EDITORIAL COMERCIAL,EDICIONES CONTINENTE S.R.L.,2
Argentina,2014,900 - Geografía e historia,EDITORIAL COMERCIAL,EDITORIAL EL ATENEO,10
Argentina,2014,900 - Geografía e historia,EDITORIAL COMERCIAL,RH MONDADORI,7
Argentina,2014,900 - Geografía e historia,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,3
Argentina,2014,900 - Geografía e historia,EDITORIAL UNIVERSITARIA,PONTIFICIA UNIVERSIDAD CATOLICA DE ARGENTINA,1
Argentina,2014,900 - Geografía e historia,EDITORIAL UNIVERSITARIA,UNIVERSIDAD DE BUENOS AIRES,2
Argentina,2014,SIN IDENTIFICAR,EDITORIAL COMERCIAL,CYPRES S.A.,6
Argentina,2014,SIN IDENTIFICAR,EDITORIAL COMERCIAL,EDICIONES DE LA MIRANDOLA,4
Argentina,2014,SIN IDENTIFICAR,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,3
Argentina,2014,SIN IDENTIFICAR,EDITORIAL COMERCIAL,GRUPO SANTILLANA,6
Argentina,2014,SIN IDENTIFICAR,EDITORIAL COMERCIAL,RH MONDADORI,30
Argentina,2014,SIN IDENTIFICAR,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,1
Argentina,2014,SIN IDENTIFICAR,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MORENO,1
Argentina,2015,0 - Generalidades,EDITORIAL COMERCIAL,AMPERSAND,1
Argentina,2015,0 - Generalidades,EDITORIAL COMERCIAL,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2015,0 - Generalidades,EDITORIAL COMERCIAL,EL ATENEO,1
Argentina,2015,0 - Generalidades,EDITORIAL COMERCIAL,PENGUIN RANDOM HOUSE,3
Argentina,2015,100 - Filosofía y psicología,EDITORIAL COMERCIAL,AMORRORTU,7
Argentina,2015,100 - Filosofía y psicología,EDITORIAL COMERCIAL,CONTINENTE,10
Argentina,2015,100 - Filosofía y psicología,EDITORIAL COMERCIAL,EGODOT ARGENTINA,10
Argentina,2015,100 - Filosofía y psicología,EDITORIAL COMERCIAL,GRUPO PLANETA,6
Argentina,2015,100 - Filosofía y psicología,EDITORIAL COMERCIAL,PENGUIN RANDOM HOUSE,30
Argentina,2015,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,2
Argentina,2015,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE QUILMES,1
Argentina,2015,200 - Religión,EDITORIAL COMERCIAL,AGAPE LIBROS,4
Argentina,2015,200 - Religión,EDITORIAL COMERCIAL,ASOCIACION CASA EDITORA SUDAMERICANA,70
Argentina,2015,200 - Religión,EDITORIAL COMERCIAL,CIUDAD NUEVA,7
Argentina,2015,200 - Religión,EDITORIAL COMERCIAL,CONTINENTE,8
Argentina,2015,200 - Religión,EDITORIAL COMERCIAL,PENIEL,14
Argentina,2015,300 - Ciencias sociales,EDITORIAL COMERCIAL,AMORRORTU,3
Argentina,2015,300 - Ciencias sociales,EDITORIAL COMERCIAL,CATAPULTA,13
Argentina,2015,300 - Ciencias sociales,EDITORIAL COMERCIAL,DEBATE,6
Argentina,2015,300 - Ciencias sociales,EDITORIAL COMERCIAL,PENGUIN RANDOM HOUSE,10
Argentina,2015,300 - Ciencias sociales,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,28
Argentina,2015,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD DE PALERMO - UP,3
Argentina,2015,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2015,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE QUILMES,1
Argentina,2015,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNR EDITORA. EDITORIAL DE LA UNIVERSIDAD NACIONAL DE ROSARIO,1
Argentina,2015,400  - Lenguas,EDITORIAL COMERCIAL,COLIHUE 950-563,1
Argentina,2015,400  - Lenguas,EDITORIAL COMERCIAL,DOCENCIA,1
Argentina,2015,400 - Lenguas,EDITORIAL COMERCIAL,CONTINENTE,3
Argentina,2015,400 - Lenguas,EDITORIAL COMERCIAL,EL ATENEO,3
Argentina,2015,400 - Lenguas,EDITORIAL COMERCIAL,GRUPO PLANETA,1
Argentina,2015,400 - Lenguas,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GRAL. SAN MARTIN. UNSAM EDITA,1
Argentina,2015,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,CONTINENTE,1
Argentina,2015,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,EL ATENEO,3
Argentina,2015,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,GRUPO PLANETA,3
Argentina,2015,500 - Ciencias naturales y matemáticas,EDITORIAL UNIVERSITARIA,UNIVERSIDAD ADVENTISTA DEL PLATA,2
Argentina,2015,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,ALBATROS,2
Argentina,2015,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,ANEJO PRODUCCIONES,11
Argentina,2015,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDITORIAL MEDICA PANAMERICANA,6
Argentina,2015,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,GRUPO PLANETA,4
Argentina,2015,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,JOURNAL,3
Argentina,2015,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,AMPERSAND,1
Argentina,2015,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,LA MARCA EDITORA,1
Argentina,2015,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,MILUNO EDITORIAL,1
Argentina,2015,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,PENGUIN RANDOM HOUSE,7
Argentina,2015,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CATAPULTA,10
Argentina,2015,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,EL ATENEO,7
Argentina,2015,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,PENGUIN RANDOM HOUSE,15
Argentina,2015,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,PENSAR POKER,14
Argentina,2015,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,V&R,7
Argentina,2015,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,1
Argentina,2015,800 - Literatura y retórica,EDITORIAL COMERCIAL,EL ATENEO,21
