PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,IDIOMA_ORIGEN,NOMBRE_DEWEY,CANTIDAD,TOP_EDITORIALES
México,2016,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,INGLÉS,Filosofía,1,SIDDHA YOGA DHAM DE MEXICO::1
México,2016,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,INGLÉS,Género humano,2,VUELO DE GRULLA::2
México,2016,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,LENGUA NO DETERMINADA,Metafísica,1,CENTRO MEXICANO DE INVESTIGACIONES FENOMENOLOGICAS CEMIF::1
México,2016,100 - Filosofía y psicología,ENTIDAD PÚBLICA,ALEMÁN,Sistemas. escuelas. puntos de vista de la psicología,1,CONSEJO NACIONAL PARA LA CULTURA Y LAS ARTES::1
México,2016,100 - Filosofía y psicología,ENTIDAD PÚBLICA,FRANCÉS,Género humano,1,CONSEJO NACIONAL PARA LA CULTURA Y LAS ARTES::1
México,2016,100 - Filosofía y psicología,ENTIDAD PÚBLICA,INGLÉS,Filosofía crítica,1,CONSEJO NACIONAL PARA LA CULTURA Y LAS ARTES::1
México,2016,100 - Filosofía y psicología,OTROS,ESPAÑOL,Psicología,1,LAREDO IMPRESORES::1
México,2016,100 - Filosofía y psicología,TODOS,ALEMÁN,Educación. investigación. temas relacionados con la filosofía,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::1
México,2016,100 - Filosofía y psicología,TODOS,ALEMÁN,Epistemología (Teoría del conocimiento),8,FONDO DE CULTURA ECONOMICA MEXICO::7~~EDITORIAL JOHANN GEORG HAMANN::1
México,2016,100 - Filosofía y psicología,TODOS,ALEMÁN,Género humano,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,100 - Filosofía y psicología,TODOS,ALEMÁN,Psicología aplicada,2,EDICIONES B::2
México,2016,100 - Filosofía y psicología,TODOS,ALEMÁN,Tratamiento histórico y colectivo de la filosofía,4,FONDO DE CULTURA ECONOMICA MEXICO::3~~EDITORIAL ME CAYO EL VEINTE::1
México,2016,100 - Filosofía y psicología,TODOS,CATALÁN,Trato de los niños,1,FINEO::1
México,2016,100 - Filosofía y psicología,TODOS,DANÉS,Ética (Filosofía moral),1,EDITORIAL FONTAMARA::1
México,2016,100 - Filosofía y psicología,TODOS,ESPAÑOL,FILOSOFÍA Y PSICOLOGÍA,1,TRESNUBES::1
México,2016,100 - Filosofía y psicología,TODOS,ESPAÑOL,Psicología,2,"HERNANDEZ SANCHEZ, DIANA::1~~LAREDO IMPRESORES::1"
México,2016,100 - Filosofía y psicología,TODOS,ESPAÑOL,Trato de los niños,8,FINEO::8
México,2016,100 - Filosofía y psicología,TODOS,FRANCÉS,FILOSOFÍA Y PSICOLOGÍA,1,GRUPO EDITORIAL TOMO::1
México,2016,100 - Filosofía y psicología,TODOS,FRANCÉS,Género humano,1,CONSEJO NACIONAL PARA LA CULTURA Y LAS ARTES::1
México,2016,100 - Filosofía y psicología,TODOS,FRANCÉS,Psicología,1,PALABRAS Y PLUMAS EDITORES::1
México,2016,100 - Filosofía y psicología,TODOS,FRANCÉS,Psicología aplicada,1,GRUPO EDITORIAL PATRIA::1
México,2016,100 - Filosofía y psicología,TODOS,FRANCÉS,Ética (Filosofía moral),1,"FERNANDEZ DIEZ, ALONSO::1"
México,2016,100 - Filosofía y psicología,TODOS,HÚNGARO,Psicología aplicada,1,ALOM EDITORES::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Educación. investigación. temas relacionados con la filosofía,10,GRUPO EDITORIAL TOMO::3~~GIL EDITORES::2~~EDITORA PERIODISTICA Y ANALISIS DE CONTENIDOS::1~~EDITORIAL FRAY BARTOLOME DE LAS CASAS::1~~FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,FILOSOFÍA Y PSICOLOGÍA,24,GRUPO PLANETA::13~~EDICIONES B::6~~EDITORIAL LECTORUM::3~~GRUPO SANTILLANA::2
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Género humano,16,PENGUIN RANDOM HOUSE::10~~EDITORIAL OCEANO::2~~FONDO DE CULTURA ECONOMICA MEXICO::2~~VUELO DE GRULLA::2
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Procesos mentales e inteligencia,8,GRUPO EDITORIAL PATRIA::3~~FONDO DE CULTURA ECONOMICA MEXICO::2~~PANORAMA EDITORIAL::2~~GRUPO EDITORIAL TOMO::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Psicología,6,GRUPO PAIDOS::4~~EDITORIAL EL MANUAL MODERNO::1~~EDITORIAL OCEANO::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Psicología aplicada,62,EDICIONES B::45~~GRUPO EDITORIAL PATRIA::7~~GRUPO PLANETA::4~~GRUPO PAIDOS::2~~EDICIONES URANO::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Tratamiento histórico y colectivo de la filosofía,18,CENGAGE LEARNING::13~~FONDO DE CULTURA ECONOMICA MEXICO::2~~GRUPO EDITORIAL TOMO::2~~UNIVERSIDAD IBEROAMERICANA::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Trato de los niños,1,FINEO::1
México,2016,100 - Filosofía y psicología,TODOS,INGLÉS,Ética (Filosofía moral),6,FONDO DE CULTURA ECONOMICA MEXICO::5~~UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::1
México,2016,100 - Filosofía y psicología,TODOS,ITALIANO,Educación. investigación. temas relacionados con la filosofía,2,GRUPO EDITORIAL TOMO::2
México,2016,100 - Filosofía y psicología,TODOS,ITALIANO,Psicología aplicada,1,HAMUI PICCIOTTO JEANNETTE::1
México,2016,100 - Filosofía y psicología,TODOS,ITALIANO,Ética (Filosofía moral),1,TORRES JOSE ALFREDO::1
México,2016,100 - Filosofía y psicología,TODOS,LATÍN,FILOSOFÍA Y PSICOLOGÍA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::1
México,2016,100 - Filosofía y psicología,TODOS,LENGUA NO DETERMINADA,FILOSOFÍA Y PSICOLOGÍA,1,EDITORES INDICE FONS::1
México,2016,100 - Filosofía y psicología,TODOS,LENGUA NO DETERMINADA,Género humano,1,PENGUIN RANDOM HOUSE::1
México,2016,100 - Filosofía y psicología,TODOS,LENGUA NO DETERMINADA,Procesos mentales e inteligencia,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA::1
México,2016,100 - Filosofía y psicología,TODOS,LENGUA NO DETERMINADA,Psicología aplicada,3,"EDICIONES B::1~~HERNANDEZ SANCHEZ, DIANA::1~~NORENA VILLARIAS RICARDO::1"
México,2016,200 - Religión,AMBAS,ALEMÁN,Filosofía y teoría de la religión,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,200 - Religión,AMBAS,ESLOVACO,La Biblia,1,LA TORRE DEL VIGIA::1
México,2016,200 - Religión,AMBAS,ESPAÑOL,Experiencia. práctica. vida cristianas,1,EDICIONES APOSTOLES DE LA PALABRA::1
México,2016,200 - Religión,AMBAS,ESPAÑOL,La Biblia,22,LA TORRE DEL VIGIA::22
México,2016,200 - Religión,AMBAS,FRANCÉS,Historia del cristianismo y de la iglesia cristiana,2,FONDO DE CULTURA ECONOMICA MEXICO::2
México,2016,200 - Religión,AMBAS,FRANCÉS,Sistemas. valores. principios científicos. psicología de la religión,4,OBRA NACIONAL DE LA BUENA PRENSA::4
México,2016,200 - Religión,AMBAS,INGLÉS,Budismo,2,EDICIONES URANO::1~~GRUPO PLANETA::1
México,2016,200 - Religión,AMBAS,INGLÉS,Congregaciones y órdenes religiosas,3,FONDO DE CULTURA ECONOMICA MEXICO::3
México,2016,200 - Religión,AMBAS,INGLÉS,Experiencia. práctica. vida cristianas,5,GRUPO PLANETA::2~~AGENCIA DE PUBLICACIONES MEXICO CENTRAL::1~~EDICIONES B::1~~EDICIONES Y DISTRIBUCIONES LOGOS::1
México,2016,200 - Religión,AMBAS,INGLÉS,Filosofía y teoría de la religión,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,200 - Religión,AMBAS,INGLÉS,Historia del cristianismo y de la iglesia cristiana,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,200 - Religión,AMBAS,INGLÉS,Seres espirituales,1,EDITORIAL OCEANO::1
México,2016,200 - Religión,AMBAS,INGLÉS,Sistemas. valores. principios científicos. psicología de la religión,1,EDITORIAL OCEANO::1
México,2016,200 - Religión,AMBAS,INGLÉS,Tratamiento histórico. geográfico. de personas en la religión,6,EDICIONES Y DISTRIBUCIONES LOGOS::4~~FONDO DE CULTURA ECONOMICA MEXICO::2
México,2016,200 - Religión,AMBAS,ITALIANO,Budismo,1,PPC EDITORIAL::1
México,2016,200 - Religión,AMBAS,ITALIANO,Educación religiosa,10,PPC EDITORIAL::10
México,2016,200 - Religión,AMBAS,ITALIANO,Filosofía y teoría de la religión,2,EDICIONES PAULINAS::1~~OBRA NACIONAL DE LA BUENA PRENSA::1
México,2016,200 - Religión,AMBAS,ITALIANO,Seres espirituales,1,EDICIONES PAULINAS::1
México,2016,200 - Religión,AMBAS,ITALIANO,Tratamiento histórico. geográfico. de personas en la religión,1,UNIVERSIDAD IBEROAMERICANA::1
México,2016,200 - Religión,AMBAS,LATÍN,Congregaciones y órdenes religiosas,1,BALLESTEROS DIAZ GONZALEZ GABRIELA::1
México,2016,200 - Religión,AMBAS,LENGUA NO DETERMINADA,Sistemas. valores. principios científicos. psicología de la religión,1,EDICIONES DABAR::1
México,2016,200 - Religión,AMBAS,PORTUGUÉS,Seres espirituales,2,EDICIONES PAULINAS::2
México,2016,200 - Religión,AMBAS,PORTUGUÉS,Tratamiento histórico. geográfico. de personas en la religión,1,EDICIONES DABAR::1
México,2016,200 - Religión,AUTOR-EDITOR,ESPAÑOL,Jesucristo y su familia,1,"CAMPA MENDOZA, VICTOR::1"
México,2016,200 - Religión,EDITORIAL COMERCIAL,ALEMÁN,Filosofía y teoría de la religión,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,ESLOVACO,La Biblia,1,LA TORRE DEL VIGIA::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,ESPAÑOL,Experiencia. práctica. vida cristianas,1,EDICIONES APOSTOLES DE LA PALABRA::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,ESPAÑOL,La Biblia,22,LA TORRE DEL VIGIA::22
México,2016,200 - Religión,EDITORIAL COMERCIAL,FRANCÉS,Historia del cristianismo y de la iglesia cristiana,2,FONDO DE CULTURA ECONOMICA MEXICO::2
México,2016,200 - Religión,EDITORIAL COMERCIAL,FRANCÉS,Sistemas. valores. principios científicos. psicología de la religión,4,OBRA NACIONAL DE LA BUENA PRENSA::4
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Budismo,2,EDICIONES URANO::1~~GRUPO PLANETA::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Congregaciones y órdenes religiosas,3,FONDO DE CULTURA ECONOMICA MEXICO::3
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Experiencia. práctica. vida cristianas,5,GRUPO PLANETA::2~~AGENCIA DE PUBLICACIONES MEXICO CENTRAL::1~~EDICIONES B::1~~EDICIONES Y DISTRIBUCIONES LOGOS::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Filosofía y teoría de la religión,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Historia del cristianismo y de la iglesia cristiana,1,FONDO DE CULTURA ECONOMICA MEXICO::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Seres espirituales,1,EDITORIAL OCEANO::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Sistemas. valores. principios científicos. psicología de la religión,1,EDITORIAL OCEANO::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,INGLÉS,Tratamiento histórico. geográfico. de personas en la religión,6,EDICIONES Y DISTRIBUCIONES LOGOS::4~~FONDO DE CULTURA ECONOMICA MEXICO::2
México,2016,200 - Religión,EDITORIAL COMERCIAL,ITALIANO,Budismo,1,PPC EDITORIAL::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,ITALIANO,Educación religiosa,10,PPC EDITORIAL::10
México,2016,200 - Religión,EDITORIAL COMERCIAL,ITALIANO,Filosofía y teoría de la religión,2,EDICIONES PAULINAS::1~~OBRA NACIONAL DE LA BUENA PRENSA::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,ITALIANO,Seres espirituales,1,EDICIONES PAULINAS::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,LATÍN,Congregaciones y órdenes religiosas,1,BALLESTEROS DIAZ GONZALEZ GABRIELA::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,Sistemas. valores. principios científicos. psicología de la religión,1,EDICIONES DABAR::1
México,2016,200 - Religión,EDITORIAL COMERCIAL,PORTUGUÉS,Seres espirituales,2,EDICIONES PAULINAS::2
México,2016,200 - Religión,EDITORIAL COMERCIAL,PORTUGUÉS,Tratamiento histórico. geográfico. de personas en la religión,1,EDICIONES DABAR::1
México,2016,200 - Religión,EDITORIAL UNIVERSITARIA,FRANCÉS,RELIGIÓN,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::1
México,2016,200 - Religión,EDITORIAL UNIVERSITARIA,ITALIANO,Tratamiento histórico. geográfico. de personas en la religión,1,UNIVERSIDAD IBEROAMERICANA::1
México,2016,200 - Religión,ENTIDAD PRIVADA NO EDITORIAL,INGLÉS,Experiencia. práctica. vida cristianas,1,ALIANZA EXODUS MEXICO::1
México,2016,200 - Religión,ENTIDAD PRIVADA NO EDITORIAL,JAPONÉS,Budismo,1,CENTRO DE ESTUDIOS Y ATENCION PSICOLOGICA::1
México,2016,200 - Religión,ENTIDAD PRIVADA NO EDITORIAL,NÁHUATL,"Mitología religiosa, teología social",1,PIO PIODUCCIONES::1
México,2016,200 - Religión,OTROS,INGLÉS,Sistemas. valores. principios científicos. psicología de la religión,1,SEGRAK::1
México,2016,200 - Religión,OTROS,LENGUA NO DETERMINADA,Culto público,1,IMPREJAL::1
