PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,NOMBRE DEWEY,CANTIDAD,TOP_IDIOMAS,TOP_EDITORIALES
CONTINENTAL,2025,TODOS,TODOS,Arquitectura paisajística,2,ESPAÑOL::1~~FRANCÉS::1,FUNDACION DE BENEFICENCIA COSMOS::1~~PLASCENCIA GARCIA RAFAEL ALEJANDRO::1
CONTINENTAL,2025,TODOS,TODOS,Artes creativas y manuales en la escuela primaria   Libros de texto,4,INGLÉS::3~~ESPAÑOL::1,GRUPO PLANETA::4
CONTINENTAL,2025,TODOS,TODOS,Artes decorativas,3,ESPAÑOL::2~~INGLÉS::1,ARTES DE MEXICO Y DEL MUNDO::2~~EDITORIAL CONTRAPUNTO LTDA.::1
CONTINENTAL,2025,TODOS,TODOS,Artes gráficas Arte de grabar y grabados,10,INGLÉS::9~~ESPAÑOL::1,LPM EDITORES::5~~EDITORA SEXTANTE::4~~AUTORIA COMPARTILHADA::1
CONTINENTAL,2025,TODOS,TODOS,Artes plásticas  Escultura,7,ESPAÑOL::4~~INGLÉS::2~~PORTUGUÉS::1,SECRETARIA DE CULTURA DE JALISCO::2~~UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::2~~GRUPO PAIDOS::1~~LILIANA SANCHES SIMÕES::1~~PROVEEDORA GRAFICA DE OAXACA::1
CONTINENTAL,2025,TODOS,TODOS,Artes recreativas y de la actuación,38,INGLÉS::34~~RUSO::2~~ESPAÑOL::1,RETROPUNK PUBLICACOES::10~~DEVIR::5~~EDITORA CIENCIA MODERNA::4~~RPG PLANET BOOKS & GAMES::4~~EDIPRO::2
CONTINENTAL,2025,TODOS,TODOS,Artesanías,1,INGLÉS::1,PROVEEDORA GRAFICA DE OAXACA::1
CONTINENTAL,2025,TODOS,TODOS,Arthropoda (Artrópodos),2,INGLÉS::1~~SAKAPULTEKO::1,"ARAYA LEON, SANTIAGO JOSUE::1~~IDEI/USAC::1"
CONTINENTAL,2025,TODOS,TODOS,Asociaciones para trabajo religioso,1,PORTUGUÉS::1,"VIEIRA DE SOUZA SOCI, ANGELA MARIA::1"
CONTINENTAL,2025,TODOS,TODOS,Aspectos específicos de la cultura,4,ESPAÑOL::4,"FONDO DE CULTURA ECONOMICA MEXICO::2~~CONSEJO NACIONAL DE HUMANIDADES, CIENCIA Y TECNOLOGIA::1~~DEPARTAMENTO DEL VALLE DEL CAUCA::1"
CONTINENTAL,2025,TODOS,TODOS,Astronomía y ciencias afines,15,INGLÉS::12~~PORTUGUÉS::2~~FRANCÉS::1,EDITORA SEXTANTE::4~~EDITORA CONTEXTO::2~~EDITORIAL TRILLAS::2~~GRUPO PAIDOS::2~~EDITORA BELAS LETRAS::1
CONTINENTAL,2025,TODOS,TODOS,Asuntos de política pública en educación,1,INGLÉS::1,UNIVERSIDAD AUTONOMA DE GUADALAJARA::1
CONTINENTAL,2025,TODOS,TODOS,Aves (Pájaros),1,INGLÉS::1,EDICIONES ILCSA::1
CONTINENTAL,2025,TODOS,TODOS,Ballet y danza moderna,2,FRANCÉS::1~~INGLÉS::1,FUNDACION ATENEA POR MAS FORMACION E INVESTIGACION FILOSOFICA Y HUMANISTICA::1~~LACHINO MENDOZA HAYDE SANTAMARIA::1
CONTINENTAL,2025,TODOS,TODOS,Bebidas,1,INGLÉS::1,EDITORIAL OCEANO::1
CONTINENTAL,2025,TODOS,TODOS,Bebidas fermentadas y malteadas,1,INGLÉS::1,LIBROS DE GUARDA::1
CONTINENTAL,2025,TODOS,TODOS,Bibliografía,5,INGLÉS::4~~FRANCÉS::1,HARPERKIDS::3~~DARKSIDE ENTRETENIMENTO LTDA ME::1~~FRATERNIDAD SACERDOTAL SAN PIO X EN MEXICO::1
CONTINENTAL,2025,TODOS,TODOS,Bibliografía Brasil,221,INGLÉS::168~~PORTUGUÉS::36~~ESPAÑOL::6,CITADEL GRUPO EDITORIAL::29~~EDITORA SEXTANTE::29~~EDITORA BEST SELLER::28~~AGIR EDITORA LTDA::14~~UNIVERSO DOS LIVROS EDITORA::9
CONTINENTAL,2025,TODOS,TODOS,Bibliografías,2,ALEMÁN::1~~ESPAÑOL::1,"EL LECTOR::1~~VILLANUEVA, EDUAR ANTONIO::1"
CONTINENTAL,2025,TODOS,TODOS,Bibliografías de individuos,1,ITALIANO::1,EDICIONES CLIO::1
CONTINENTAL,2025,TODOS,TODOS,Bibliotecas escolares,14,PORTUGUÉS::9~~INGLÉS::5,GRUPO EDITORIAL PEART::8~~LEXUS EDITORES::5~~TRILCE EDICIONES::1
CONTINENTAL,2025,TODOS,TODOS,Bibliotecas generales,32,INGLÉS::14~~ITALIANO::11~~ESPAÑOL::7,LEXUS EDITORES::21~~CONFERENCIA INTERAMERICANA DE SEGURIDAD SOCIAL::6~~GRUPO PLANETA::3~~CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE::1~~LUUAPLAY COLOMBIA SAS::1
CONTINENTAL,2025,TODOS,TODOS,Bibliotecas universitarias,13,ESPAÑOL::12~~INGLÉS::1,"ALMAZAN CARO, YEIMI MAGALI::4~~MERCADO CORDERO, OLGA ANDREA::2~~RODRIGUEZ GARECA, JUAN JOSE::2~~VELASQUEZ ORTEGA, NICOLAS::2~~CABRERA EXENI , JORGE ELIAS::1"
CONTINENTAL,2025,TODOS,TODOS,Bibliotecología y ciencias de la información,4,ESPAÑOL::2~~INGLÉS::2,AG EDITOR SAS::2~~ALEXANDRE MEIRA::1~~MARTINS FONTES - SELO MARTINS::1
CONTINENTAL,2025,TODOS,TODOS,Biografía Científicos,2,ALEMÁN::2,EDICIONES UNIVERSIDAD AUSTRAL DE CHILE::2
CONTINENTAL,2025,TODOS,TODOS,Biografía Editores y vendedores de libros,1,ESPAÑOL::1,FUNDACION TOPAZ::1
CONTINENTAL,2025,TODOS,TODOS,Biografía Hombres,10,ALEMÁN::3~~INGLÉS::3~~ESPAÑOL::2,"PLURAL EDITORES::2~~DON PELAYO EDICIONES SPA::1~~EDITORES MEXICANOS UNIDOS::1~~EL GATO DESCALZO DE GERMAN ATOCHE INTILI::1~~IRIGOYEN, RAUL ALFONSO::1"
CONTINENTAL,2025,TODOS,TODOS,Biografía Líderes. pensadores. trabajadores religiosos,6,ESPAÑOL::4~~FRANCÉS::1~~LENGUA NO DETERMINADA::1,"PIRAQUIVE DE MORENO, MARIA LUISA::2~~BOYADJIAN STEPANIAN, HAGOP RUBEN::1~~EDITORIAL DE VECCHI::1~~FONDO EDITORIAL DE NUEVO LEON::1~~UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO::1"
CONTINENTAL,2025,TODOS,TODOS,Biografía Mujeres,11,ESPAÑOL::7~~INGLÉS::3~~FRANCÉS::1,"ALVAREZ, SILVIA BEATRIZ::5~~LOM EDICIONES::2~~EL GATO DESCALZO DE GERMAN ATOCHE INTILI::1~~GRUPO PLANETA::1~~IMPALA COMUNICACION GRAFICA::1"
CONTINENTAL,2025,TODOS,TODOS,Biografía Personas en ciencias sociales,2,ITALIANO::2,FONDO DE CULTURA ECONOMICA MEXICO::2
CONTINENTAL,2025,TODOS,TODOS,Biografía Personas en las artes y en recreación,2,ESPAÑOL::1~~INGLÉS::1,"DGE EQUILIBRISTA::1~~RODRIGUEZ JAÑA, JAVIER IGNACIO::1"
CONTINENTAL,2025,TODOS,TODOS,Biografía Personas en literatura. historia. biografía. genealogía,10,INGLÉS::7~~ALEMÁN::1~~ITALIANO::1,"EDITORES MEXICANOS UNIDOS::3~~DE LA CRUZ VARGAS, JUAN CARLOS::2~~EDICIONES UNIVERSIDAD AUSTRAL DE CHILE::2~~PERLA EDICIONES, S.A. DE C.V.::2~~PAEZ GOMEZ, YINA JOHANNA / DG EDITORES::1"
CONTINENTAL,2025,TODOS,TODOS,Biografía. genealogía. insignias,149,INGLÉS::91~~PORTUGUÉS::23~~ESPAÑOL::12,EDITORA SEXTANTE::20~~EDITORA MANOLE::17~~COMPANHIA DAS LETRAS::6~~GRUPO EDITORIAL RECORD::6~~EDITORA WMF MARTINS FONTES::5
CONTINENTAL,2025,TODOS,TODOS,Biografías de periodistas y comentaristas de noticias,1,ESPAÑOL::1,"ZARACHO MARMOL, GUILLERMO SAMUEL::1"
CONTINENTAL,2025,TODOS,TODOS,Biología celular,4,ESPAÑOL::2~~INGLÉS::2,MCGRAW-HILL::4
CONTINENTAL,2025,TODOS,TODOS,Biología económica,2,ESPAÑOL::1~~INGLÉS::1,INSTITUTO GLOBAL PARA EL CRECIMIENTO VERDE::1~~MINISTERIO DE AMBIENTE::1
CONTINENTAL,2025,TODOS,TODOS,Bioquímica,1,ESPAÑOL::1,"ACOSTA, SONIA MARIA::1"
CONTINENTAL,2025,TODOS,TODOS,Biotecnología,1,INGLÉS::1,TATIANE MILITAO DE SA::1
CONTINENTAL,2025,TODOS,TODOS,Budismo,23,INGLÉS::21~~JAPONÉS::1~~SÁNSCRITO::1,EDITORIAL MUDITA::16~~ASOCIACION PERUANA DE LA SOKA GAKKAI INTERNACIONAL::2~~EDITORIAL LECTORUM::2~~HAKLIND::2~~ORGANIZACION DE BUDISMO TIBETANO SAKYA RINCHEN LING::1
CONTINENTAL,2025,TODOS,TODOS,Béisbol,2,ESPAÑOL::2,"GARCIA, RUTH DEL CARMEN::2"
CONTINENTAL,2025,TODOS,TODOS,CIENCIAS NATURALES Y MATEMÁTICAS,1,ALEMÁN::1,"FE DE RATAS LIBROS, SPA::1"
CONTINENTAL,2025,TODOS,TODOS,CIENCIAS SOCIALES,75,ESPAÑOL::41~~INGLÉS::27~~ALEMÁN::3,"ECOE EDICIONES::11~~INTERNACIONAL DE LA EDUCACION PARA AMERICA LATINA::8~~GRUPO EDITORIAL IBAÑEZ S.A.S::5~~INSTITUTO DE ESTUDIOS PERUANOS::5~~EDITORA NOVO ART, S.A.::4"
CONTINENTAL,2025,TODOS,TODOS,Cambio,2,PORTUGUÉS::2,"WENDT, KATIA SILVANA::2"
